           x             y            z             ux            uy           uz 
    0.150000      0.086603     0.200000     0.001335     -0.000009    -0.001553 
    0.350000      0.095447     0.200000     0.002570     -0.000075    -0.005873 
    0.450000      0.102068     0.200000     0.002954     -0.000097    -0.008752 
    0.750000      0.096246     0.200000     0.003504     -0.000149    -0.018910 
    0.550000      0.100577     0.200000     0.003233     -0.000122    -0.011957 
    0.250000      0.103485     0.200000     0.002030     -0.000047    -0.003359 
    0.934255      0.073368     0.200000     0.003557     -0.000166    -0.025506 
    0.065745      0.126632     0.200000     0.000614     -0.000039    -0.000432 
    0.942019      0.142202     0.200000     0.003564     -0.000169    -0.025808 
    0.057981      0.057798     0.200000     0.000533      0.000023    -0.000363 
    0.850000      0.113397     0.028571    -0.002548     -0.000218    -0.022495 
    0.850000      0.113397     0.057143    -0.001531     -0.000208    -0.022494 
    0.850000      0.113397     0.085714    -0.000516     -0.000198    -0.022493 
    0.850000      0.113397     0.114286     0.000498     -0.000189    -0.022494 
    0.850000      0.113397     0.142857     0.001512     -0.000179    -0.022495 
    0.850000      0.113397     0.171429     0.002529     -0.000170    -0.022498 
    0.650000      0.101392     0.028571    -0.002445     -0.000193    -0.015368 
    0.650000      0.101392     0.057143    -0.001468     -0.000182    -0.015363 
    0.650000      0.101392     0.085714    -0.000498     -0.000172    -0.015361 
    0.650000      0.101392     0.114286     0.000471     -0.000163    -0.015363 
    0.650000      0.101392     0.142857     0.001442     -0.000154    -0.015368 
    0.650000      0.101392     0.171429     0.002418     -0.000145    -0.015378 
    0.150000      0.086603     0.028571    -0.000948     -0.000066    -0.001411 
    0.150000      0.086603     0.057143    -0.000558     -0.000056    -0.001383 
    0.150000      0.086603     0.085714    -0.000187     -0.000044    -0.001374 
    0.150000      0.086603     0.114286     0.000177     -0.000033    -0.001386 
    0.150000      0.086603     0.142857     0.000544     -0.000022    -0.001419 
    0.150000      0.086603     0.171429     0.000927     -0.000014    -0.001474 
    0.350000      0.095447     0.028571    -0.001842     -0.000121    -0.005793 
    0.350000      0.095447     0.057143    -0.001102     -0.000111    -0.005776 
    0.350000      0.095447     0.085714    -0.000373     -0.000102    -0.005770 
    0.350000      0.095447     0.114286     0.000350     -0.000093    -0.005777 
    0.350000      0.095447     0.142857     0.001077     -0.000085    -0.005795 
    0.350000      0.095447     0.171429     0.001814     -0.000079    -0.005827 
    0.450000      0.102068     0.028571    -0.002124     -0.000149    -0.008729 
    0.450000      0.102068     0.057143    -0.001273     -0.000138    -0.008711 
    0.450000      0.102068     0.085714    -0.000433     -0.000128    -0.008701 
    0.450000      0.102068     0.114286     0.000404     -0.000120    -0.008701 
    0.450000      0.102068     0.142857     0.001244     -0.000112    -0.008709 
    0.450000      0.102068     0.171429     0.002092     -0.000104    -0.008726 
    0.750000      0.096246     0.028571    -0.002517     -0.000207    -0.018909 
    0.750000      0.096246     0.057143    -0.001511     -0.000197    -0.018904 
    0.750000      0.096246     0.085714    -0.000511     -0.000187    -0.018901 
    0.750000      0.096246     0.114286     0.000488     -0.000177    -0.018901 
    0.750000      0.096246     0.142857     0.001489     -0.000168    -0.018902 
    0.750000      0.096246     0.171429     0.002493     -0.000158    -0.018905 
    0.550000      0.100577     0.028571    -0.002318     -0.000173    -0.011959 
    0.550000      0.100577     0.057143    -0.001391     -0.000164    -0.011944 
    0.550000      0.100577     0.085714    -0.000471     -0.000155    -0.011934 
    0.550000      0.100577     0.114286     0.000446     -0.000146    -0.011931 
    0.550000      0.100577     0.142857     0.001366     -0.000138    -0.011934 
    0.550000      0.100577     0.171429     0.002293     -0.000130    -0.011942 
    0.250000      0.103485     0.028571    -0.001460     -0.000087    -0.003356 
    0.250000      0.103485     0.057143    -0.000873     -0.000078    -0.003315 
    0.250000      0.103485     0.085714    -0.000300     -0.000071    -0.003292 
    0.250000      0.103485     0.114286     0.000268     -0.000064    -0.003286 
    0.250000      0.103485     0.142857     0.000840     -0.000058    -0.003295 
    0.250000      0.103485     0.171429     0.001425     -0.000053    -0.003320 
    0.934255      0.073368     0.028571    -0.002560     -0.000227    -0.025506 
    0.934255      0.073368     0.057143    -0.001540     -0.000217    -0.025505 
    0.934255      0.073368     0.085714    -0.000521     -0.000207    -0.025504 
    0.934255      0.073368     0.114286     0.000497     -0.000197    -0.025504 
    0.934255      0.073368     0.142857     0.001515     -0.000186    -0.025505 
    0.934255      0.073368     0.171429     0.002535     -0.000176    -0.025505 
    0.065745      0.126632     0.028571    -0.000403      0.000001    -0.000447 
    0.065745      0.126632     0.057143    -0.000222     -0.000003    -0.000384 
    0.065745      0.126632     0.085714    -0.000064     -0.000011    -0.000351 
    0.065745      0.126632     0.114286     0.000086     -0.000020    -0.000340 
    0.065745      0.126632     0.142857     0.000238     -0.000029    -0.000349 
    0.065745      0.126632     0.171429     0.000407     -0.000036    -0.000378 
    0.942019      0.142202     0.028571    -0.002554     -0.000227    -0.025808 
    0.942019      0.142202     0.057143    -0.001533     -0.000217    -0.025807 
    0.942019      0.142202     0.085714    -0.000515     -0.000207    -0.025806 
    0.942019      0.142202     0.114286     0.000503     -0.000198    -0.025806 
    0.942019      0.142202     0.142857     0.001522     -0.000188    -0.025806 
    0.942019      0.142202     0.171429     0.002542     -0.000179    -0.025807 
    0.057981      0.057798     0.028571    -0.000368     -0.000055    -0.000372 
    0.057981      0.057798     0.057143    -0.000207     -0.000042    -0.000312 
    0.057981      0.057798     0.085714    -0.000070     -0.000028    -0.000280 
    0.057981      0.057798     0.114286     0.000059     -0.000012    -0.000270 
    0.057981      0.057798     0.142857     0.000192      0.000004    -0.000279 
    0.057981      0.057798     0.171429     0.000343      0.000016    -0.000308 
