           x             y         ux_ff       ux_sofa         uy_ff       uy_sofa        err_ux        err_uy
    0.684211      0.142857      0.001550      0.001550     -0.017285     -0.017285      0.000000     -0.000000
    0.684211      0.171429      0.002580      0.002580     -0.017294     -0.017294      0.000000     -0.000000
    0.736842      0.028571     -0.002588     -0.002588     -0.019237     -0.019237     -0.000000     -0.000000
    0.736842      0.057143     -0.001543     -0.001543     -0.019232     -0.019232     -0.000000     -0.000000
    0.736842      0.085714     -0.000504     -0.000504     -0.019229     -0.019229     -0.000000     -0.000000
    0.736842      0.114286      0.000534      0.000534     -0.019230     -0.019230      0.000000     -0.000000
    0.736842      0.142857      0.001573      0.001573     -0.019233     -0.019233      0.000000     -0.000000
    0.736842      0.171429      0.002617      0.002617     -0.019240     -0.019240      0.000000     -0.000000
    0.789474      0.028571     -0.002612     -0.002612     -0.021199     -0.021199     -0.000000     -0.000000
    0.789474      0.057143     -0.001558     -0.001558     -0.021196     -0.021196     -0.000000     -0.000000
    0.789474      0.085714     -0.000508     -0.000508     -0.021194     -0.021194     -0.000000     -0.000000
    0.789474      0.114286      0.000540      0.000540     -0.021194     -0.021194      0.000000     -0.000000
    0.789474      0.142857      0.001589      0.001589     -0.021197     -0.021197      0.000000     -0.000000
    0.789474      0.171429      0.002643      0.002643     -0.021201     -0.021201      0.000000     -0.000000
    0.842105      0.028571     -0.002627     -0.002627     -0.023168     -0.023168     -0.000000     -0.000000
    0.842105      0.057143     -0.001568     -0.001568     -0.023166     -0.023166     -0.000000     -0.000000
    0.842105      0.085714     -0.000512     -0.000512     -0.023165     -0.023165     -0.000000     -0.000000
    0.842105      0.114286      0.000544      0.000544     -0.023165     -0.023165      0.000000     -0.000000
    0.842105      0.142857      0.001600      0.001600     -0.023167     -0.023167      0.000000     -0.000000
    0.842105      0.171429      0.002659      0.002659     -0.023170     -0.023170      0.000000     -0.000000
    0.894737      0.028571     -0.002636     -0.002636     -0.025139     -0.025139     -0.000000     -0.000000
    0.894737      0.057143     -0.001573     -0.001573     -0.025137     -0.025137     -0.000000     -0.000000
    0.894737      0.085714     -0.000513     -0.000513     -0.025137     -0.025137     -0.000000     -0.000000
    0.894737      0.114286      0.000546      0.000546     -0.025137     -0.025137      0.000000     -0.000000
    0.894737      0.142857      0.001606      0.001606     -0.025138     -0.025138      0.000000     -0.000000
    0.894737      0.171429      0.002667      0.002667     -0.025140     -0.025140      0.000000     -0.000000
    0.947368      0.028571     -0.002639     -0.002639     -0.027106     -0.027106     -0.000000     -0.000000
    0.947368      0.057143     -0.001576     -0.001576     -0.027105     -0.027105     -0.000000     -0.000000
    0.947368      0.085714     -0.000514     -0.000514     -0.027105     -0.027105     -0.000000     -0.000000
    0.947368      0.114286      0.000547      0.000547     -0.027105     -0.027105      0.000000     -0.000000
    0.947368      0.142857      0.001608      0.001608     -0.027105     -0.027105      0.000000     -0.000000
    0.947368      0.171429      0.002671      0.002671     -0.027106     -0.027106      0.000000     -0.000000

L2 error norms
----------------------------------------
  ||ux_sofa - ux_ff||_2 = 1.431686e-16
  ||uy_sofa - uy_ff||_2 = 9.764272e-16
