           x             y         ux_ff       ux_sofa         uy_ff       uy_sofa        err_ux        err_uy
    0.578947      0.171429      0.002722      0.002461     -0.014896     -0.013486     -0.000262      0.001410
    0.631579      0.028571     -0.002779     -0.002501     -0.016978     -0.015368      0.000278      0.001610
    0.631579      0.057143     -0.001659     -0.001490     -0.016970     -0.015357      0.000169      0.001612
    0.631579      0.085714     -0.000546     -0.000486     -0.016966     -0.015352      0.000060      0.001613
    0.631579      0.114286      0.000564      0.000515     -0.016966     -0.015353     -0.000049      0.001613
    0.631579      0.142857      0.001677      0.001518     -0.016972     -0.015360     -0.000159      0.001612
    0.631579      0.171429      0.002797      0.002529     -0.016981     -0.015372     -0.000268      0.001609
    0.684211      0.028571     -0.002835     -0.002551     -0.019104     -0.017290      0.000283      0.001813
    0.684211      0.057143     -0.001693     -0.001521     -0.019098     -0.017283      0.000172      0.001815
    0.684211      0.085714     -0.000557     -0.000496     -0.019095     -0.017279      0.000061      0.001816
    0.684211      0.114286      0.000576      0.000526     -0.019095     -0.017279     -0.000050      0.001816
    0.684211      0.142857      0.001711      0.001550     -0.019099     -0.017285     -0.000161      0.001815
    0.684211      0.171429      0.002853      0.002580     -0.019107     -0.017294     -0.000273      0.001813
    0.736842      0.028571     -0.002875     -0.002588     -0.021257     -0.019237      0.000287      0.002020
    0.736842      0.057143     -0.001717     -0.001543     -0.021253     -0.019232      0.000174      0.002021
    0.736842      0.085714     -0.000565     -0.000504     -0.021251     -0.019229      0.000062      0.002022
    0.736842      0.114286      0.000585      0.000534     -0.021252     -0.019230     -0.000051      0.002022
    0.736842      0.142857      0.001736      0.001573     -0.021255     -0.019233     -0.000163      0.002021
    0.736842      0.171429      0.002893      0.002617     -0.021260     -0.019240     -0.000276      0.002020
    0.789474      0.028571     -0.002902     -0.002612     -0.023428     -0.021199      0.000290      0.002229
    0.789474      0.057143     -0.001734     -0.001558     -0.023425     -0.021196      0.000176      0.002230
    0.789474      0.085714     -0.000571     -0.000508     -0.023424     -0.021194      0.000062      0.002230
    0.789474      0.114286      0.000591      0.000540     -0.023424     -0.021194     -0.000051      0.002230
    0.789474      0.142857      0.001754      0.001589     -0.023426     -0.021197     -0.000164      0.002230
    0.789474      0.171429      0.002921      0.002643     -0.023430     -0.021201     -0.000278      0.002229
    0.842105      0.028571     -0.002918     -0.002627     -0.025607     -0.023168      0.000291      0.002439
    0.842105      0.057143     -0.001745     -0.001568     -0.025605     -0.023166      0.000177      0.002439
    0.842105      0.085714     -0.000575     -0.000512     -0.025605     -0.023165      0.000063      0.002440
    0.842105      0.114286      0.000595      0.000544     -0.025605     -0.023165     -0.000051      0.002440
    0.842105      0.142857      0.001765      0.001600     -0.025606     -0.023167     -0.000165      0.002439
    0.842105      0.171429      0.002938      0.002659     -0.025609     -0.023170     -0.000280      0.002439
    0.894737      0.028571     -0.002928     -0.002636     -0.027788     -0.025139      0.000292      0.002650
    0.894737      0.057143     -0.001751     -0.001573     -0.027787     -0.025137      0.000177      0.002650
    0.894737      0.085714     -0.000577     -0.000513     -0.027787     -0.025137      0.000063      0.002650
    0.894737      0.114286      0.000597      0.000546     -0.027787     -0.025137     -0.000051      0.002650
    0.894737      0.142857      0.001771      0.001606     -0.027788     -0.025138     -0.000166      0.002650
    0.894737      0.171429      0.002947      0.002667     -0.027789     -0.025140     -0.000280      0.002649
    0.947368      0.028571     -0.002931     -0.002639     -0.029966     -0.027106      0.000292      0.002860
    0.947368      0.057143     -0.001754     -0.001576     -0.029966     -0.027105      0.000178      0.002861
    0.947368      0.085714     -0.000577     -0.000514     -0.029965     -0.027105      0.000063      0.002861
    0.947368      0.114286      0.000598      0.000547     -0.029965     -0.027105     -0.000051      0.002861
    0.947368      0.142857      0.001774      0.001608     -0.029966     -0.027105     -0.000166      0.002861
    0.947368      0.171429      0.002951      0.002671     -0.029967     -0.027106     -0.000280      0.002860

L2 error norms
----------------------------------------
  ||ux_sofa - ux_ff||_2 = 1.675413e-05
  ||uy_sofa - uy_ff||_2 = 1.271818e-04
